Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7941176470588235,0.7222222222222222,0.5909090909090909,0.65
KNN (k=20),0.7352941176470589,0.6666666666666666,0.36363636363636365,0.47058823529411764
SVM (RBF),0.8382352941176471,0.8235294117647058,0.6363636363636364,0.717948717948718
Decision Tree,0.8235294117647058,0.8571428571428571,0.5454545454545454,0.6666666666666666
Random Forest,0.8088235294117647,0.8461538461538461,0.5,0.6285714285714286
Gradient Boosting,0.8235294117647058,0.75,0.6818181818181818,0.7142857142857143
