Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7941176470588235,0.7222222222222222,0.5909090909090909,0.65
KNN (k=20),0.7647058823529411,0.7142857142857143,0.45454545454545453,0.5555555555555556
SVM (RBF),0.7941176470588235,0.75,0.5454545454545454,0.631578947368421
Decision Tree,0.8235294117647058,0.8125,0.5909090909090909,0.6842105263157895
Random Forest,0.8088235294117647,0.8461538461538461,0.5,0.6285714285714286
Gradient Boosting,0.8235294117647058,0.75,0.6818181818181818,0.7142857142857143
