Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.6470588235294118,0.4444444444444444,0.36363636363636365,0.4
KNN (k=20),0.6911764705882353,0.5333333333333333,0.36363636363636365,0.43243243243243246
SVM (RBF),0.6911764705882353,0.5294117647058824,0.4090909090909091,0.46153846153846156
Decision Tree,0.7058823529411765,0.5416666666666666,0.5909090909090909,0.5652173913043478
Random Forest,0.7058823529411765,0.5714285714285714,0.36363636363636365,0.4444444444444444
Gradient Boosting,0.6911764705882353,0.5263157894736842,0.45454545454545453,0.4878048780487805
