Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7647058823529411,0.6666666666666666,0.5454545454545454,0.6
KNN (k=20),0.7205882352941176,0.6153846153846154,0.36363636363636365,0.45714285714285713
SVM (RBF),0.7941176470588235,0.7222222222222222,0.5909090909090909,0.65
Decision Tree,0.7647058823529411,0.6153846153846154,0.7272727272727273,0.6666666666666666
Random Forest,0.8235294117647058,0.7777777777777778,0.6363636363636364,0.7
Gradient Boosting,0.7794117647058824,0.6666666666666666,0.6363636363636364,0.6511627906976745
