Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.75,0.631578947368421,0.5454545454545454,0.5853658536585366
KNN (k=20),0.75,0.6923076923076923,0.4090909090909091,0.5142857142857142
SVM (RBF),0.7794117647058824,0.7058823529411765,0.5454545454545454,0.6153846153846154
Decision Tree,0.7352941176470589,0.5833333333333334,0.6363636363636364,0.6086956521739131
Random Forest,0.7941176470588235,0.7857142857142857,0.5,0.6111111111111112
Gradient Boosting,0.8088235294117647,0.7142857142857143,0.6818181818181818,0.6976744186046512
