Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7794117647058824,0.6842105263157895,0.5909090909090909,0.6341463414634146
KNN (k=20),0.7058823529411765,0.5714285714285714,0.36363636363636365,0.4444444444444444
SVM (RBF),0.8088235294117647,0.7368421052631579,0.6363636363636364,0.6829268292682927
Decision Tree,0.7647058823529411,0.7142857142857143,0.45454545454545453,0.5555555555555556
Random Forest,0.8088235294117647,0.7647058823529411,0.5909090909090909,0.6666666666666666
Gradient Boosting,0.8088235294117647,0.7142857142857143,0.6818181818181818,0.6976744186046512
