Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7794117647058824,0.6842105263157895,0.5909090909090909,0.6341463414634146
KNN (k=20),0.7352941176470589,0.6666666666666666,0.36363636363636365,0.47058823529411764
SVM (RBF),0.7794117647058824,0.7058823529411765,0.5454545454545454,0.6153846153846154
Decision Tree,0.7647058823529411,0.6153846153846154,0.7272727272727273,0.6666666666666666
Random Forest,0.7794117647058824,0.7692307692307693,0.45454545454545453,0.5714285714285714
Gradient Boosting,0.8235294117647058,0.75,0.6818181818181818,0.7142857142857143
