Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7941176470588235,0.7222222222222222,0.5909090909090909,0.65
KNN (k=20),0.7941176470588235,0.75,0.5454545454545454,0.631578947368421
SVM (RBF),0.8088235294117647,0.7647058823529411,0.5909090909090909,0.6666666666666666
Decision Tree,0.7647058823529411,0.6153846153846154,0.7272727272727273,0.6666666666666666
Random Forest,0.8676470588235294,0.9333333333333333,0.6363636363636364,0.7567567567567568
Gradient Boosting,0.8088235294117647,0.7142857142857143,0.6818181818181818,0.6976744186046512
