Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.8088235294117647,0.7647058823529411,0.5909090909090909,0.6666666666666666
KNN (k=20),0.75,0.7272727272727273,0.36363636363636365,0.48484848484848486
SVM (RBF),0.7941176470588235,0.75,0.5454545454545454,0.631578947368421
Decision Tree,0.8382352941176471,0.9230769230769231,0.5454545454545454,0.6857142857142857
Random Forest,0.8088235294117647,0.8,0.5454545454545454,0.6486486486486487
Gradient Boosting,0.7941176470588235,0.7222222222222222,0.5909090909090909,0.65
