Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7794117647058824,0.6842105263157895,0.5909090909090909,0.6341463414634146
KNN (k=20),0.75,0.7272727272727273,0.36363636363636365,0.48484848484848486
SVM (RBF),0.7941176470588235,0.75,0.5454545454545454,0.631578947368421
Decision Tree,0.7352941176470589,0.7,0.3181818181818182,0.4375
Random Forest,0.8382352941176471,0.7894736842105263,0.6818181818181818,0.7317073170731707
Gradient Boosting,0.8088235294117647,0.7142857142857143,0.6818181818181818,0.6976744186046512
