Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7012987012987013,0.5909090909090909,0.48148148148148145,0.5306122448979592
KNN (k=26),0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061
SVM (RBF),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
Decision Tree,0.6948051948051948,0.5636363636363636,0.5740740740740741,0.5688073394495413
Random Forest,0.7272727272727273,0.6363636363636364,0.5185185185185185,0.5714285714285714
Gradient Boosting,0.7532467532467533,0.6739130434782609,0.5740740740740741,0.62
