Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
KNN (k=5),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
SVM (RBF),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
Decision Tree,0.8051948051948052,0.74,0.6851851851851852,0.7115384615384616
Random Forest,0.7467532467532467,0.6744186046511628,0.5370370370370371,0.5979381443298969
Gradient Boosting,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
