Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7142857142857143,0.6041666666666666,0.5370370370370371,0.5686274509803921
KNN (k=20),0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041
SVM (RBF),0.7272727272727273,0.625,0.5555555555555556,0.5882352941176471
Decision Tree,0.6753246753246753,0.5416666666666666,0.48148148148148145,0.5098039215686274
Random Forest,0.7402597402597403,0.6296296296296297,0.6296296296296297,0.6296296296296297
Gradient Boosting,0.7467532467532467,0.6415094339622641,0.6296296296296297,0.6355140186915887
