Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.6623376623376623,0.5263157894736842,0.37037037037037035,0.43478260869565216
KNN (k=20),0.6623376623376623,0.5294117647058824,0.3333333333333333,0.4090909090909091
SVM (RBF),0.6428571428571429,0.4857142857142857,0.3148148148148148,0.38202247191011235
Decision Tree,0.6038961038961039,0.43859649122807015,0.46296296296296297,0.45045045045045046
Random Forest,0.7077922077922078,0.5918367346938775,0.5370370370370371,0.5631067961165048
Gradient Boosting,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653
