Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653
KNN (k=20),0.7727272727272727,0.7435897435897436,0.5370370370370371,0.6236559139784946
SVM (RBF),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
Decision Tree,0.7207792207792207,0.6170212765957447,0.5370370370370371,0.5742574257425742
Random Forest,0.7597402597402597,0.673469387755102,0.6111111111111112,0.6407766990291263
Gradient Boosting,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569
