Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7012987012987013,0.5833333333333334,0.5185185185185185,0.5490196078431373
KNN (k=20),0.7272727272727273,0.6428571428571429,0.5,0.5625
SVM (RBF),0.7272727272727273,0.6304347826086957,0.5370370370370371,0.58
Decision Tree,0.6818181818181818,0.5490196078431373,0.5185185185185185,0.5333333333333333
Random Forest,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155
Gradient Boosting,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708
