Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
KNN (k=20),0.7012987012987013,0.6,0.4444444444444444,0.5106382978723404
SVM (RBF),0.7207792207792207,0.6122448979591837,0.5555555555555556,0.5825242718446602
Decision Tree,0.6753246753246753,0.5454545454545454,0.4444444444444444,0.4897959183673469
Random Forest,0.7142857142857143,0.6,0.5555555555555556,0.5769230769230769
Gradient Boosting,0.7532467532467533,0.6739130434782609,0.5740740740740741,0.62
