Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7012987012987013,0.5909090909090909,0.48148148148148145,0.5306122448979592
KNN (k=20),0.7207792207792207,0.6341463414634146,0.48148148148148145,0.5473684210526316
SVM (RBF),0.7272727272727273,0.6363636363636364,0.5185185185185185,0.5714285714285714
Decision Tree,0.7077922077922078,0.6153846153846154,0.4444444444444444,0.5161290322580645
Random Forest,0.7337662337662337,0.6382978723404256,0.5555555555555556,0.594059405940594
Gradient Boosting,0.7402597402597403,0.6346153846153846,0.6111111111111112,0.6226415094339622
