Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.6948051948051948,0.574468085106383,0.5,0.5346534653465347
KNN (k=20),0.7532467532467533,0.7,0.5185185185185185,0.5957446808510638
SVM (RBF),0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653
Decision Tree,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139
Random Forest,0.7402597402597403,0.6590909090909091,0.5370370370370371,0.5918367346938775
Gradient Boosting,0.7337662337662337,0.6326530612244898,0.5740740740740741,0.6019417475728155
