Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.6623376623376623,0.525,0.3888888888888889,0.44680851063829785
KNN (k=20),0.6818181818181818,0.6,0.2777777777777778,0.379746835443038
SVM (RBF),0.6883116883116883,0.5882352941176471,0.37037037037037035,0.45454545454545453
Decision Tree,0.7077922077922078,0.6,0.5,0.5454545454545454
Random Forest,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
Gradient Boosting,0.7207792207792207,0.6222222222222222,0.5185185185185185,0.5656565656565656
