Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
KNN (k=20),0.7207792207792207,0.6341463414634146,0.48148148148148145,0.5473684210526316
SVM (RBF),0.7272727272727273,0.6304347826086957,0.5370370370370371,0.58
Decision Tree,0.7142857142857143,0.6041666666666666,0.5370370370370371,0.5686274509803921
Random Forest,0.7142857142857143,0.6,0.5555555555555556,0.5769230769230769
Gradient Boosting,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569
