Model,Original,Mean,Median,Nozero
Logistic Regression,0.7142857142857143,0.7012987012987013,0.7077922077922078,0.7794117647058824
KNN (k=30),0.7467532467532467,0.7467532467532467,0.7532467532467533,0.75
SVM (RBF),0.7402597402597403,0.7402597402597403,0.7337662337662337,0.7941176470588235
Decision Tree,0.7272727272727273,0.6948051948051948,0.7272727272727273,0.7352941176470589
Random Forest,0.7337662337662337,0.7272727272727273,0.7597402597402597,0.8382352941176471
Gradient Boosting,0.7532467532467533,0.7532467532467533,0.7597402597402597,0.8088235294117647
