Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
KNN (k=30),0.7467532467532467,0.6923076923076923,0.5,0.5806451612903226
SVM (RBF),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
Decision Tree,0.7272727272727273,0.5909090909090909,0.7222222222222222,0.65
Random Forest,0.7337662337662337,0.6511627906976745,0.5185185185185185,0.5773195876288659
Gradient Boosting,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569
