Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454
KNN (k=20),0.7532467532467533,0.6904761904761905,0.5370370370370371,0.6041666666666666
SVM (RBF),0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859
Decision Tree,0.7272727272727273,0.5882352941176471,0.7407407407407407,0.6557377049180327
Random Forest,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
Gradient Boosting,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
