Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454
KNN (k=20),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6
SVM (RBF),0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859
Decision Tree,0.7987012987012987,0.676923076923077,0.8148148148148148,0.7394957983193278
Random Forest,0.7337662337662337,0.6756756756756757,0.46296296296296297,0.5494505494505495
Gradient Boosting,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
